File,Valid_Rays,Prior_NmF2,Prior_hmF2,Post_NmF2,Post_hmF2,Abel_NmF2,Abel_hmF2,Post_Abel_RMSE,Prior_TEC_RMSE,Prior_TEC_MAE,Post_TEC_RMSE,Post_TEC_MAE,RelTEC_TEC_RMSE,RelTEC_TEC_MAE,RelTEC_TEC_bias_TECU,RelTEC_NmF2,RelTEC_hmF2,Processing_Time_s,Status
podTc2_GN04.2025.178.00.13.0025.G23.01_0000.0001_nc,353,,,,,,,,,,,,,,,,,0.025768756866455078,Error: Ionosphere_Tomography_Inverter.__init__() got an unexpected keyword argument 'meanscale'
podTc2_GN04.2025.178.00.13.0032.C24.01_0000.0001_nc,845,,,,,,,,,,,,,,,,,0.03249645233154297,Error: Ionosphere_Tomography_Inverter.__init__() got an unexpected keyword argument 'meanscale'
podTc2_GN04.2025.178.00.16.0037.E25.00_0000.0001_nc,639,,,,,,,,,,,,,,,,,0.01721978187561035,Error: Ionosphere_Tomography_Inverter.__init__() got an unexpected keyword argument 'meanscale'
podTc2_GN04.2025.178.00.18.0032.R16.01_0000.0001_nc,509,,,,,,,,,,,,,,,,,0.016542673110961914,Error: Ionosphere_Tomography_Inverter.__init__() got an unexpected keyword argument 'meanscale'
podTc2_GN04.2025.178.00.19.0025.R04.01_0000.0001_nc,371,,,,,,,,,,,,,,,,,0.02007126808166504,Error: Ionosphere_Tomography_Inverter.__init__() got an unexpected keyword argument 'meanscale'
podTc2_GN04.2025.178.00.20.0035.R21.00_0000.0001_nc,810,,,,,,,,,,,,,,,,,0.03593015670776367,Error: Ionosphere_Tomography_Inverter.__init__() got an unexpected keyword argument 'meanscale'
podTc2_GN04.2025.178.00.21.0028.G01.00_0000.0001_nc,418,,,,,,,,,,,,,,,,,0.0251004695892334,Error: Ionosphere_Tomography_Inverter.__init__() got an unexpected keyword argument 'meanscale'
podTc2_GN04.2025.178.00.21.0030.R22.00_0000.0001_nc,399,,,,,,,,,,,,,,,,,0.021544218063354492,Error: Ionosphere_Tomography_Inverter.__init__() got an unexpected keyword argument 'meanscale'
podTc2_GN04.2025.178.00.22.0025.G10.01_0000.0001_nc,374,,,,,,,,,,,,,,,,,0.0221099853515625,Error: Ionosphere_Tomography_Inverter.__init__() got an unexpected keyword argument 'meanscale'
podTc2_GN04.2025.178.00.23.0027.C33.00_0000.0001_nc,389,,,,,,,,,,,,,,,,,0.0243833065032959,Error: Ionosphere_Tomography_Inverter.__init__() got an unexpected keyword argument 'meanscale'
podTc2_GN04.2025.178.00.23.0029.E12.00_0000.0001_nc,374,,,,,,,,,,,,,,,,,0.032408714294433594,Error: Ionosphere_Tomography_Inverter.__init__() got an unexpected keyword argument 'meanscale'
podTc2_GN04.2025.178.00.23.0031.C27.00_0000.0001_nc,426,,,,,,,,,,,,,,,,,0.018040180206298828,Error: Ionosphere_Tomography_Inverter.__init__() got an unexpected keyword argument 'meanscale'
podTc2_GN04.2025.178.00.23.0031.G25.01_0000.0001_nc,456,,,,,,,,,,,,,,,,,0.028079986572265625,Error: Ionosphere_Tomography_Inverter.__init__() got an unexpected keyword argument 'meanscale'
podTc2_GN04.2025.178.00.24.0033.C40.00_0000.0001_nc,408,,,,,,,,,,,,,,,,,0.015623807907104492,Error: Ionosphere_Tomography_Inverter.__init__() got an unexpected keyword argument 'meanscale'
podTc2_GN04.2025.178.00.25.0026.G03.00_0000.0001_nc,346,,,,,,,,,,,,,,,,,0.021056413650512695,Error: Ionosphere_Tomography_Inverter.__init__() got an unexpected keyword argument 'meanscale'
