File,Valid_Rays,Prior_NmF2,Prior_hmF2,Post_NmF2,Post_hmF2,Abel_NmF2,Abel_hmF2,Post_Abel_RMSE,Prior_TEC_RMSE,Prior_TEC_MAE,Post_TEC_RMSE,Post_TEC_MAE,RelTEC_TEC_RMSE,RelTEC_TEC_MAE,RelTEC_TEC_bias_TECU,RelTEC_NmF2,RelTEC_hmF2,Processing_Time_s,Status
podTc2_GN05.2025.151.23.44.0035.E23.00_0000.0001_nc,511,964898845035.529,401.062687887627,1473639838378.79,390.95645693946,579756377572.75,383.387640281663,581794599352.178,22.8317860093963,18.4022048471,13.9869365270738,8.04980355349385,4.31492250836509,3.31877743527782,29.5748904210208,1198639694662.53,386.044277039715,27.4612760543823,Success
podTc2_GN05.2025.151.23.45.0026.R03.00_0000.0001_nc,418,873094372443.992,351.350251475287,820854798531.517,346.841322309933,774787325248.188,364.85318048195,267183509079.259,53.2575468473148,48.5614166900951,39.6578821788054,29.39225784283,20.9891018439539,13.9262463676149,43.2608445508957,776578315296.224,328.854194680058,24.2528586387634,Success
podTc2_GN05.2025.151.23.45.0029.E13.00_0000.0001_nc,376,837372418282.606,397.685973402434,1013381469927.61,385.565005181707,580361365101.617,378.18080996445,318906190990.236,46.6630303268715,43.1919932593454,34.5542624207054,23.2915524787118,18.6402918054802,13.1203705569178,37.7785579959417,1232827701339.94,376.195202657509,11.3854188919067,Success
podTc2_GN05.2025.151.23.46.0021.G18.01_0000.0001_nc,644,483076329595.888,349.549340703341,380203683392.032,258.871666248671,489714544353,330.117788213974,86276181553.2948,57.3860730997816,47.7772883066192,11.7597191996346,7.21996916793416,9.66993885441265,7.29750564388705,46.5959037569774,306152340861.278,240.262243458119,55.0599977970123,Success
podTc2_GN05.2025.151.23.46.0024.G32.00_0000.0001_nc,391,975914177962.414,375.53139971009,1169773525844.57,359.047797157189,883326327877.859,377.639980494922,393847322250.301,77.3928309479903,72.9297113677095,47.5979001858228,35.8766503363934,25.357054577934,16.6351420385517,48.2786204972135,1105420623127.73,349.10652329515,16.5540843009949,Success
podTc2_GN05.2025.151.23.46.0030.C34.00_0000.0001_nc,508,805084763117.798,388.362897017975,741532339155.771,382.548562988564,457164722627.75,390.175577000616,234949461858.44,16.1985183492923,13.4148457947743,1.27667028928153,1.03040937599644,0.914339451603644,0.671860849286062,12.0196352839824,689591763175.805,379.789762275885,29.9061870574951,Success
podTc2_GN05.2025.151.23.46.0031.C37.01_0000.0001_nc,435,459827144925.06,293.837986778392,544020309305.273,231.060572331384,287573002357.58,275.925999549688,168240371638.671,24.2279046417513,20.0678202795066,2.11877486977412,1.53448161913338,1.66730326660229,1.04911492988968,16.9957114438872,476139189630.775,226.146270893368,7.96648359298706,Success
podTc2_GN05.2025.151.23.46.0040.C43.00_0000.0001_nc,2388,,,,,,,,,,,,,,,,,0.0176780223846436,Occultation too long
podTc2_GN05.2025.151.23.48.0027.E09.01_0000.0001_nc,513,397798259273.976,304.823679054944,402264309622.648,267.469569947241,320107740642.25,280.127228081599,438289936736.361,29.2124223982638,25.4859925011425,6.34048980571485,4.00134442977989,5.09496077470669,3.39573039431855,37.5173893461124,1451253579600.18,176.916928934311,26.6803390979767,Success
podTc2_GN05.2025.151.23.48.0028.C35.00_0000.0001_nc,358,758204354328.265,390.084200567646,811651051075.314,310.563147902408,744507848916.805,352.585890156524,100941295589.66,44.1887242193893,39.3552552278428,18.1943676599485,12.3904287476417,6.36328451263411,4.5884016891712,25.643228548168,787914103426.667,312.905188564135,12.3672711849213,Success
podTc2_GN05.2025.151.23.49.0023.E34.01_0000.0001_nc,618,422146130294.501,299.498144399459,414610600442.217,302.542694489415,585990534139,309.686135813122,72521241067.9537,8.8048102083197,8.08852054249481,5.20716702833574,4.28393445033888,4.67388787966884,3.69247948222972,7.7075962158663,395525249332.865,291.146225972973,45.3013956546783,Success
