# Global Ionospheric Radio Observatory (GIRO)
# GIRO Digital Ionogram Database (DIDBase)
# Tabulated Rapid Access Ionospheric Characteristics, Version 1.1
# Generated by FastChar.GetBest on 2026-06-08T21:25:08.697Z
#
# Location: GEO ( 42.6 N   288.5 E ), URSI-Code MHJ45, MILLSTONE HILL
# Query for measurement interval of time: 2025-06-01T00:00:00.000Z - 2025-06-04T00:00:00.000Z
# Requested by unknown guest from IP:127.0.0.1
# Instrument: Ionosonde, Model: [DPS-4D]
#
# Data Selection:
# CS [percent] = Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2[MHz] = F2 layer critical frequency
# foF1[MHz] = F1 layer critical frequency
# foE[MHz] = E layer critical frequency
# foEs[MHz] = Es layer critical frequency
# fbEs[MHz] = Blanketing frequency of Es-layer
# foEa[MHz] = Critical frequency of auroral E-layer
# foP[MHz] = Highest ordinary wave critical frequency of F region patch trace
# fxI[MHz] = Maximum frequency of F trace
# MUF(D)[MHz] = Maximum usable frequency for ground distance D
# M(D) = MUF(D)/foF2
# h`F2[km] = Minimum virtual height of F2 trace
# h`F[km] = Minimum virtual height of F trace
# h`E[km] = Minimum virtual height of E trace
# h`Es[km] = Minimum virtual height of Es trace
# h`Ea[km] = Minimum virtual height of auroral E-layer trace
# h`P[km] = Minimum virtual height of the trace used to determinate foP
# STATUS: WARNING (Unknown characteristic name: Type Es)
# hmF2[km] = Peak height F2-layer
# hmF1[km] = Peak height F1-layer
# hmE[km] = Peak height of E-layer
# zhalfNm[km] = The true height at half the maximum density in the F2-layer
# yF2[km] = Half thickness of F2-layer, parabolic model
# yF1[km] = Half thickness of F1-layer, parabolic model
# yE[km] = Half thickness of E-layer
# STATUS: WARNING (Unknown characteristic name: scaleF2)
# B0[km] = IRI thickness parameter
# B1 = IRI profile shape parameter
# D1 = IRI profile shape parameter, F1-layer
# TEC[TECU] = Total electron content
# FF[MHz] = Frequency spread between fxF2 and fxI
# FE[MHz] = Frequency spread beyond foE
# QF[km] = Average range spread of F-layer
# QE[km] = Average range spread of E-layer
# fmin[MHz] = Minimum frequency of ionogram echoes
# fminF[MHz] = Minimum frequency of F-layer echoes
# fminE[MHz] = Minimum frequency of E-layer echoes
# fminEs[MHz] = Minimum frequency of Es-layer
# foF2p[MHz] = Predicted value of foF2
# Distance D for MUF calculations: 3000 km
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of MHJ45 data provider
#
# Time                    CS   foF2 QD  foF1 QD   foE QD  foEs QD  fbEs QD  foEa QD   foP QD   fxI QD MUF(D) QD M(D) QD h`F2 QD  h`F QD  h`E QD   h`Es QD   h`Ea QD    h`P QD   hmF2 QD   hmF1 QD    hmE QD halfNm QD    yF2 QD    yF1 QD     yE QD    B0 QD   B1 QD   D1 QD    TEC QD    FF QD    FE QD     QF QD     QE QD  fmin QD fminF QD fminE QD minEs QD foF2p QD
2025-06-01T01:15:00.000Z   0  7.550 //   --- __   --- __   --- __   --- __   --- __   --- __  8.32 // 21.402 // 2.84 // 222.5 // 222.5 //  --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __  --- __  --- __    --- __  0.10 //   --- __    --- __    --- __  2.03 //  2.03 //   --- __   --- __  4.93 //
2025-06-01T01:22:30.000Z   0  7.275 //   --- __   --- __   --- __   --- __   --- __   --- __  8.05 // 19.968 // 2.74 // 225.0 // 225.0 //  --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __  --- __  --- __    --- __  0.10 //   --- __    --- __    --- __  2.03 //  2.03 //   --- __   --- __  4.88 //
2025-06-01T01:30:00.000Z   0  7.300 //   --- __   --- __   --- __   --- __   --- __   --- __  8.00 // 19.702 // 2.70 // 240.0 // 240.0 //  --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __    --- __   --- __  --- __  --- __    --- __  0.08 //   --- __    --- __    --- __  2.03 //  2.03 //   --- __   --- __  4.83 //
2025-06-01T01:37:30.000Z  65  7.350 //   --- __   --- __   --- __   --- __   --- __   --- __  8.02 // 20.137 // 2.74 // 250.0 // 250.0 //  --- __    --- __    --- __    --- __  355.4 //    --- __    --- __  283.7 //  102.2 //    --- __    --- __  88.8 // 3.19 //  --- __   14.8 //  0.05 //   --- __    --- __    --- __  2.03 //  2.03 //   --- __   --- __  4.78 //
2025-06-01T01:45:00.000Z  60  7.025 //   --- __   --- __   --- __   --- __   --- __   --- __  7.65 // 19.463 // 2.77 // 247.5 // 247.5 //  --- __    --- __    --- __    --- __  336.4 //    --- __    --- __  277.4 //   84.8 //    --- __    --- __  77.5 // 2.64 //  --- __   11.1 //  0.05 //   --- __    --- __    --- __  2.03 //  2.03 //   --- __   --- __  4.73 //
2025-06-01T01:52:30.000Z  70  6.950 //   --- __   --- __   --- __   --- __   --- __   --- __  7.70 // 18.368 // 2.64 // 250.0 // 250.0 //  --- __    --- __    --- __    --- __  364.7 //    --- __    --- __  292.6 //  103.6 //    --- __    --- __  93.4 // 2.78 //  --- __   13.3 //  0.08 //   --- __    --- __    --- __  2.03 //  2.03 //   --- __   --- __  4.67 //
2025-06-01T02:00:00.000Z  70  6.900 //   --- __   --- __   --- __   --- __   --- __   --- __  7.70 // 18.101 // 2.62 // 275.0 // 275.0 //  --- __    --- __    --- __    --- __  375.5 //    --- __    --- __  306.5 //   99.4 //    --- __    --- __  92.9 // 2.51 //  --- __   12.7 //  0.08 //   --- __    --- __    --- __  2.03 //  2.03 //   --- __   --- __  4.61 //
2025-06-01T02:07:30.000Z  85  7.050 //   --- __   --- __   --- __   --- __   --- __   --- __  8.05 // 18.496 // 2.62 // 287.5 // 287.5 //  --- __    --- __    --- __    --- __  392.6 //    --- __    --- __  310.9 //  116.5 //    --- __    --- __  99.8 // 3.35 //  --- __   15.7 //  0.38 //   --- __    --- __    --- __  2.05 //  2.05 //   --- __   --- __  4.55 //
2025-06-01T02:15:00.000Z  90  6.975 //   --- __   --- __   --- __   --- __   --- __   --- __  7.72 // 18.469 // 2.65 // 282.5 // 282.5 //  --- __    --- __    --- __    --- __  382.9 //    --- __    --- __  307.4 //  107.9 //    --- __    --- __  93.9 // 3.15 //  --- __   14.1 //  0.10 //   --- __    --- __    --- __  2.05 //  2.05 //   --- __   --- __  4.49 //
2025-06-01T02:22:30.000Z  70  6.675 //   --- __   --- __   --- __   --- __   --- __   --- __  7.45 // 17.710 // 2.65 // 285.0 // 285.0 //  --- __    --- __    --- __    --- __  379.3 //    --- __    --- __  306.6 //  104.0 //    --- __    --- __  91.9 // 3.02 //  --- __   12.5 //  0.08 //   --- __    --- __    --- __  2.03 //  2.03 //   --- __   --- __  4.42 //
